latitude,longitude,mg,diff
22.8,121.54,5.1,0.43
23.79,122.95,5.2,3.6
21.17,121.9,5.3,1.13
23.55,123.56,5.9,0.33
24.46,123.32,5,0.83
23.86,121.59,6.2,1.3
23.11,121.41,5.6,2.33
24.67,122.28,5.6,0.27
24.07,121.65,5.2,0.33
24.38,123.6,5.2,0.27
23.75,121.69,5.9,0.57
24.08,122.29,5.1,0.33
24.12,122.65,6.4,0.17
22.6,121.4,5.1,0.57
24.5,123.66,5.3,2.3
23.92,121.74,5,0.87
24.11,121.71,5.7,1.37
22.23,121.06,5.2,0.63
20.49,121.46,5.3,0.23
23.47,123.59,5.3,3.17
24.94,122.15,5,4.37
22.05,121.98,5.1,0.8
21.84,121.07,5.4,0.13
20.91,121.28,6.1,0.17
23.18,120.57,5.4,1.1
24.94,122.93,5.3,0.1
23.98,121.81,5.5,0.4
24.78,122.53,5.4,0.5
25.04,123.49,5,0.97
24.05,122.37,5.6,0.9
22.78,123.63,5.8,0.9
21,120.32,5.5,0.43
24.17,122.54,6.2,0
24.03,122.53,5.6,0
24.03,122.51,5.3,0
24.07,122.56,5.9,0.03
23.96,122.45,6.6,0
23.86,122.73,5.1,0
23.9,122.54,5.5,0
23.85,122.54,5,0.07
23.81,122.46,5.1,0.23
20.95,121.14,5.4,0.1
24.51,121.91,6.4,3.4
23.71,121.96,5.2,0.67
23.1,121.48,5.5,0.3
22.4,121.64,5.2,0.47
24.76,122.21,5.6,0.03
23.93,123.49,5.3,0.93
24.33,122.38,5.3,0.57
24.06,122.64,5.3,0.93
23.62,121.66,5.2,1.47
24.14,121.61,6.2,0.47
20.94,121.97,5.4,0.5
24.58,121.97,5.1,0.33
24.07,122.29,5.7,0
24.07,122.3,5.4,0.2
21.8,121.14,5.2,0.53
22.67,120.69,5.1,0.7
23.93,123.39,5.1,0.37
23.01,121.43,5.7,0.97
24.6,121.7,6,0.1
22.09,121.57,5.3,0.3
23.78,121.29,5.1,0.23
24.32,121.87,5.2,4.67
24.59,121.69,5,0.57
24.04,121.67,5.3,2.6
24.09,122.22,6.3,0
24.03,122.24,5.9,0.47
24,122.22,5.1,0.3
24.34,122.14,5,0.03
24.14,122.2,5.8,2.4
24.95,123.45,5.2,0
24.97,123.3,5.6,1.67
24.6,122.28,5.5,0.4
24.04,122.6,5.7,0.87
21.9,121.5,6.8,0.03
21.61,121.42,5.2,0
21.61,121.32,5,0
21.72,121.39,5.4,0
21.64,121.4,5.1,0
21.59,121.44,5.4,0
21.78,121.4,5.1,0.03
21.81,121.47,5,0.57
24.94,123.48,5.6,0.5
21.81,121.28,5,1.6
24.12,121.8,5.2,1.33
24.68,122.46,5.2,0.37
21.88,121.46,5.3,0.07
24.18,122.67,5,2.83
23.72,121.58,5.1,0.67
22.39,121.47,5,1.67
21.94,121.5,5.2,0.4
22.97,120.93,5.1,0.37
24.71,122.45,5.6,1.33
21.59,120.4,5.4,0
21.63,120.4,5.3,0.03
21.55,120.41,5.2,1.57
25.03,122.45,5.5,0.67
23.98,123.47,5.1,0.4
21.6,121.49,5,0.07
24.16,121.86,5.2,2.17
22.7,121.17,5.2,1.63
20.59,122.14,5.8,4.2
23.51,123.05,5.2,0.17
23.41,120.74,5.7,0.23
21.25,122.02,6.1,0.6
25.01,123.02,5.4,1.1
24.3,122.96,5.4,0.87
22.11,121.75,5.1,1.3
22.68,120.96,5.3,3.23
24.12,122.65,5.9,2.47
24.71,121.89,5,0.9
24.45,122.36,5.4,0.23
23.66,121.63,5,3.07
22.25,121.8,5.4,0.33
23.77,120.98,7.7,0
23.79,121.2,6.1,0
23.57,121.3,6.3,0
23.75,121.19,6.1,0
23.76,121.25,6.2,0
23.41,120.77,5,0
23.98,120.9,5,0
23.8,121.49,5.1,0
23.39,120.96,6.4,0
23.58,120.95,5.3,0.03
23.7,121.35,5.1,0
23.81,121.32,5.2,0
24.06,121.15,5.2,0
23.8,121.43,5.1,0.03
23.73,121.17,6.4,0
23.64,121.14,5.8,0
23.6,121.11,5.3,0.03
23.81,121.27,5.3,0
23.98,121.38,5,0.07
23.56,121.21,5.1,0
23.74,121.16,6.5,0.07
23.66,121.52,5.3,0.13
23.62,121.03,5.2,0.03
24.07,122.43,5.2,0.37
23.87,121.36,5.3,0.17
23.56,121.28,5.4,0.1
23.82,122.62,5.2,0.03
23.45,120.51,5.9,0
23.43,120.51,5.6,0.27
24.01,121.56,5.4,0.07
23.38,121.52,6.3,0.23
21.15,121.89,5,0.17
25.35,123.9,5,0
24.01,122.6,5,3.13
23.35,120.93,5.3,0.33
25.29,123.83,5.2,2.73
24.22,121.06,5.4,0
24.2,121.1,5.1,0.03
24.19,121,5.2,0.77
23.84,121.23,6.4,0.3
23.87,121.29,5.3,0.83
23.98,121.54,5.4,0.33
24.77,122.48,5,0.13
23.36,120.92,5.7,0.87
23.62,121.47,5.3,0.6
24.01,121.53,5.8,0.2
24.03,122.47,5.3,1.77
23.25,124.15,5.7,1.13
24.15,122.49,5.4,0.47
20.97,122.06,5,0.13
24.32,122.97,5.1,0.4
23.99,121.05,5.1,1.2
24.58,122.45,5.2,0.43
23.74,121.18,5.3,3.47
24.46,122.4,5.6,0
23.89,123.42,5.4,0.03
24.51,122.03,5.9,0.17
23.04,121.11,5.4,0
23.09,121.22,5.1,1.6
21.49,121.07,5,1.4
23.2,120.76,5,1.8
24.82,122.72,5.1,1.27
23.95,122.73,6.8,0
24.03,122.84,5,0
23.95,122.82,5.3,0.13
24.07,122.69,5.2,0.2
24.12,122.77,5.1,1.53
23.72,121.56,5.7,1.4
23.35,124.09,6.4,0
23.23,123.99,5,0.17
24.28,122.18,7.1,0.1
24.29,121.84,5.3,0.57
22.81,121.7,5.1,0.27
24.2,122.68,5.2,0.4
22.13,121.54,5,0
23.93,122.87,5,0.17
24.64,121.92,6.2,0.43
24.07,122.26,6.1,0.53
24.8,122.23,5.2,0.93
24.08,122.29,5.8,0.2
23.34,122.21,5.2,0.8
24.17,121.67,5.2,0.6
22.12,121.58,5.6,0.13
24.06,122.27,5.5,0
24.08,122.33,5.3,0.3
24.86,122.08,5,0.17
24.1,122.46,5.1,0.03
25.15,122.27,5.5,1.23
25.17,123.81,5,0
25.23,123.93,5.1,0.03
25.22,123.8,5.2,0
25.2,123.85,5.2,0
25.23,123.84,5.1,0
25.13,123.83,5.2,0
25.22,123.75,5.4,0
25.19,123.67,5.1,0
25.19,123.77,5.4,0
25.18,123.71,5.3,0
25.25,123.7,5.2,0.03
25.21,123.73,5.3,1.07
23.93,122.74,5.3,0.13
23.79,123.23,5.1,0.7
21.74,121.55,5.1,0.9
23.51,120.71,5,0.73
20.89,121.57,5.1,3.2
25.07,122.39,5.1,0.83
24.41,122.02,5.8,0.03
23.52,121.63,6,0.2
23.53,121.61,5.5,1.47
24.12,122.61,5.2,0.17
21.99,120.59,5,1.23
22.66,121.6,5,3.03
23.04,121.36,6.8,0.03
22.72,121.52,5.5,0.2
22.5,121.47,5.4,0.5
23.32,121.61,5.2,1.13
23.41,122,5.4,0.73
24.12,123.09,5.3,2.17
24.08,121.61,5.2,0.23
21.95,121.6,5.6,0.03
24.56,121.82,5,0.23
23.1,121.81,5.6,0.1
22.66,121.51,6.2,1.6
24.86,122.24,5.2,1.5
23.93,123.37,5.4,1.87
24.53,122.69,6.7,0.8
24.1,122.54,6.3,0
24.08,122.55,5.2,0.07
24.08,122.34,5.1,0.03
24.41,122.23,5.7,1.17
24.13,122.37,5.1,1.2
24.7,122.46,5.2,0.37
24.29,121.78,5,0.57
23.21,121.56,5.4,0.5
24.64,121.94,5.7,0
24.72,121.92,5.7,1.87
23.96,121.64,5.3,1.07
24.72,122.06,5.4,0.2
23.96,121.88,5,1.43
24.72,122.34,5.2,1.6
24.08,122.19,5.8,0.67
23.21,121.41,5.2,0.57
21.33,120.3,5,0.07
25.31,123.35,6.4,5.6
22.87,121.28,6.1,0.47
22.8,121.36,5.9,0.43
23.96,121.57,5.2,0.3
21.56,120.81,5.4,0.6
20.65,120.11,5.1,0.37
21.56,121.92,5,1.77
24.18,122.53,5.9,0.47
22.45,121.53,5.2,0.53
24.95,122.94,5.4,1.43
20.65,120.02,6.3,0
20.7,120,5,0
20.75,119.95,5,0
20.54,120.04,5.1,0
20.63,119.9,5.2,0
20.71,119.98,5.9,0
20.66,119.93,5,0
20.52,120.05,5,0.03
20.55,120.16,5,0
20.77,120.02,5.1,0.03
20.69,119.95,5.2,0
20.69,119.95,5.2,0
20.71,120.08,5.7,0
20.73,120.13,5,0.03
20.71,119.97,5,0
24.15,122.63,5.7,1.07
20.66,120,5.2,0.17
20.49,120.26,5.3,0.83
20.89,119.9,5.1,0.33
24.77,122.26,5.1,0.1
21.8,120.55,7.1,0
21.97,120.49,6.9,0
21.64,120.85,5.5,0
22.07,120.41,5.4,0
21.8,120.63,5.3,0.03
22,120.48,5.6,0.57
21.15,121.53,5.1,0.1
24.01,122.49,5.2,0.3
22.56,121.93,6,0.8
21.68,120.48,5.3,0.57
24.06,122.38,5.1,1.5
21.14,122.13,5.5,0.77
20.5,120.26,5,1.27
20.98,121.48,5.1,1.07
23.67,121.63,5.2,0.57
22.58,121.1,5.3,0.67
21.79,121.43,5.4,0.27
24.34,122.22,6.2,0
24.37,122.34,5.2,1.37
23.5,121.71,5,1.63
22.98,121.37,5,2.47
23.28,121.45,5.4,0.53
23.12,120.83,5.2,1.37
22.82,121.47,5,0.3
22.88,121.62,6,0
22.88,121.65,5.1,0
22.77,121.72,5,0.57
24.04,122.58,5.6,0.07
24.08,122.57,5,0.03
22.71,121.24,5.2,0.63
24.85,121.82,5.3,1.33
21.02,121.13,5.5,0
21.07,121.14,5,0.07
21.01,121.15,6.2,0.87
21.57,121.52,5,0.43
23.85,122.6,5,0.63
24.67,122.57,5.5,2.8
23.28,121.6,5.3,0.17
23.84,122.17,5.2,0.53
22.95,120.57,5.1,0.37
24.16,121.75,5,0.67
21.12,121.24,5.3,3.2
23.94,123.36,5.1,0.9
21.61,119.59,5,1.1
24.17,121.72,5.1,0.5
24.06,122.2,6.3,0
24.09,122.12,5,0.1
24.11,122.21,5.4,0
24.06,122.23,5.2,0.33
23.64,121.08,5.1,0
23.43,121.51,5,0.1
21.98,120.45,5.4,0.63
23.5,123.5,6.7,0
23.43,123.52,6.1,0
23.42,123.71,5.7,0.03
23.47,123.54,5,0
23.51,123.52,5.4,0.07
23.47,123.43,5.2,0.03
22.27,120.52,5.1,1.43
23.63,121.45,6.1,1.1
23.73,120.74,5.6,0
23.66,120.84,5.2,1.47
23.8,121.61,6.4,1.67
23.49,123.62,6.3,0.07
20.99,121.13,5,0.37
20.95,121.22,5,0.07
24.13,122.94,5.2,0.13
23.78,122.82,5.5,0.2
22.92,120.8,6.3,0
22.9,120.77,5.2,1.27
23.25,122.02,5.3,0.07
23.12,121.44,5,0.43
22.18,123.62,6.5,1.67
24.04,121.62,5.3,0.77
24.42,122.11,5,0.03
24.75,122.6,5.2,0.3
24.13,122.47,5.1,0.23
22.76,120.84,5.2,0.9
24.75,121.98,5.1,0.3
24.9,122.19,5,0.93
24.98,123.55,5.1,1.53
24.14,122.49,5.2,0.3
23.83,121.66,5.6,2.4
24.17,121.83,5.2,0.47
21.1,121.19,5.4,1.1
22.32,121.45,5.4,0.9
25.44,123.9,5.7,0.27
21.03,121.23,5,0.17
21.13,122.01,5.3,0.03
24.62,121.85,5.1,0.73
24.09,121.76,5,0.37
22.24,121.41,5,1.33
23.43,121.52,5,0.03
25.08,123.7,5.2,0.17
23.59,122.38,5,1.87
23.74,122.83,5,1.6
25.37,122.87,5.7,3.23
24.7,122.6,5.1,0.73
22.66,120.89,5.9,0.03
23.87,123.36,5.2,1.37
24,122.35,5.3,0.37
24.13,121.67,5,1.6
22.36,121.43,5.5,0.1
24.57,122.25,5.9,0.17
23.7,121.58,5.2,0.1
23.65,121.57,5,2.63
22.17,121.14,5,0.03
24.03,122.34,5.1,1.67
22.42,120.56,5,0.87
22.34,121.45,5.2,0.4
23.91,121.63,5,0.8
24.04,122.55,5,0.4
24.57,122.87,5.1,0.87
23.79,121.98,5.2,1.1
24.31,121.49,5.5,0.67
23.83,121.22,5.9,0.47
20.72,122.06,5.8,0.23
24.77,123.31,5.3,0
24.87,123.23,5.3,0
24.85,123.28,5,0.03
24.92,123.36,5.5,1.1
23.38,123.68,5.4,0.4
23.79,121.14,6.2,0.17
24.1,122.67,5.8,0.7
24.09,122.23,5.7,0.57
23.77,122.94,5.3,0.03
24.26,121.52,5.2,0.27
23.87,121.6,5,3.3
23.59,121.44,6.3,0.37
24.88,123.16,5,0.13
24.08,122.47,5,1.73
25.43,122.77,5.1,0.07
24.61,123.45,5.3,2.27
24.11,122.42,5.4,0.07
24.11,122.26,5.8,2.1
23.76,121.5,5.6,1.57
23.36,122.36,5,0.33
22.14,121.47,5.1,2.33
22.77,121.37,5,1.83
24.88,122.08,5.2,0.07
20.65,120.07,5.8,0.63
25.54,122.45,6.1,0.7
24.67,122.56,5.2,0.23
24.26,121.7,5.1,1.23
22.64,121.43,6.2,1.27
23.72,121.75,5.5,0.93
24.2,122.32,6.4,0
24.1,122.46,5.2,0
24.09,122.45,6,0
24.05,122.45,6.1,0.17
23.94,122.54,5.1,3.67
23.97,122.49,5.6,0.63
23.89,121.52,5,0.47
24.24,121.87,5.3,0.03
24.25,121.83,5.2,1.1
24.77,122.05,5.3,0.43
22.75,121.66,5.5,1.07
22.6,121.4,5.1,1.57
22.86,121.32,5.6,0.57
22.94,120.6,6.4,0.8
23.92,123.42,5.1,1.87
21.22,121.13,5.3,0.07
24.23,121.8,5.5,0
23.32,121.39,5,0.5
24.7,121.98,5.8,0
24.68,122.05,5.7,0.03
24.72,122.02,5.1,0.6
25.56,122.55,6.4,0.77
23.69,123.37,5.8,3.5
22.63,121.44,5.8,1.63
24.09,122.43,5.3,2.6
22.83,120.22,5.3,2.63
21.3,121.83,5.2,0.5
23.26,121.45,5.3,2.7
24.61,123.62,5.1,1.57
23.33,121.78,5.4,2.1
23.54,120.74,5.1,2.47
24.18,121.73,5,0
24.16,121.71,6.1,0
24.13,121.76,5.5,0.07
24.13,121.66,6.4,0
23.92,121.66,5.1,0
24.11,121.78,5.2,0
24.05,121.77,5.2,0
23.99,121.76,5.4,0.03
24.07,121.74,5.7,0.4
24.58,121.62,5,0.07
23.43,121.59,5,0.13
24.44,122.04,5.1,0.13
24.26,123.77,5.2,0.03
24.29,122.93,5,2
24.04,122.31,5.1,3.33
20.92,120.07,5,2.5
24.12,122.6,5.8,0
23.99,122.68,5.7,1.57
23.98,121.59,5.1,0.2
23.77,122,5.1,1.53
23.73,122.49,5.3,0
21.83,120.58,5,0.6
20.67,122.12,5,0.63
22.46,121.46,5.4,0.87
22.97,120.96,5.4,0.03
23.01,120.95,5.2,0.13
22.13,121.52,5,0.03
23.94,121.6,5,0.3
24.04,121.65,6.1,1.57
22.9,121.69,5.5,0.83
22.3,122.46,5,0.4
23.91,122.88,5.1,0.5
20.76,121.92,5.4,0
20.84,121.97,6,0.03
20.75,122.01,5.7,0
20.82,122,5.1,0.37
24.48,121.93,5.8,2.37
24.05,122.48,5.1,1.3
24,121.76,5,0.7
24.5,121.8,5,2.03
23.84,121.62,5.3,0.33
24.37,121.45,5,1.13
23.99,123.45,5.3,0.37
20.47,122.11,5.9,0.77
23.26,121.59,5.2,1.37
24.31,122.47,5.4,0.03
24.9,123.26,5.1,0.03
24.86,123.27,5.2,0.1
24.9,123.29,5,0
24.94,123.33,5.3,0.03
24.93,123.36,5.2,1.23
24.28,122.46,5.2,2.2
24.88,122.08,5,1.4
21.65,121.84,5,0.97
24.78,122.02,6.1,1.23
22.54,121.44,5.1,0.3
23.47,123.57,5.2,0.33
21.56,121.93,5.4,0.07
24.7,122.63,5.4,0.07
24.39,122.39,5.1,0
24.41,122.07,5.2,0.3
22.23,121.36,5.1,0.43
21.93,121.29,5.5,1.57
23.79,121.56,5.5,0
23.86,121.53,5.8,1.8
23.87,121.61,5.2,0
22.62,121.22,5,0.87
23.86,121.65,5.1,0
23.86,121.64,5.1,0.2
23.9,121.62,5.2,0.73
24.78,122.31,5.8,0
24.75,122.27,5.1,0.07
24.75,122.24,5.3,0
23.11,121.36,5.2,1.03
23.84,122.2,5.2,0.63
24.3,121.74,5,0.93
24,121.74,5.1,0.03
24.51,121.83,6.2,0.7
24.56,121.98,5,1.53
23.99,122.5,5.3,0.13
24.01,122.26,6.2,0
24.03,122.19,5,0.43
24.22,122.25,5.2,0.73
24.39,122.04,5.1,0.13
23.98,122.28,5.3,0.87
23.27,121.43,5.2,0.43
22.08,121.46,5,0
23.38,121.61,6.7,0
23.42,121.49,5.9,0
23.46,121.51,5.1,0
23.35,121.62,5,0
23.5,121.54,5.5,0
23.41,121.51,5.8,0.07
23.45,121.5,5.2,0.07
20.73,122.14,5.1,0.4
21.7,121.04,5.7,0.03
21.7,121,5.3,0.1
21.67,121.06,5.3,0
21.69,121.09,5,0.23
21.64,121.1,5.3,0.2
23.45,123.23,5.3,0.5
24.04,122.49,6.2,0
23.98,122.56,5,0.3
23.54,123.74,5,1.1
23.65,121.47,5.9,0
23.73,121.5,5.1,0.1
24.16,122.46,5.1,0.13
22.04,120.24,5,0
22.11,120.24,5,0.03
22.04,120.24,5,0
21.98,120.31,5.3,1.83
25.25,123.58,5.3,0.87
23.12,121.41,6.5,0
23.09,121.25,5.1,0
22.95,121.22,5.5,0.03
23.1,121.31,5.6,0
23.1,121.33,5.3,0
23.14,121.34,6.9,0
23.02,121.26,5,0
22.99,121.34,5.2,0
23.22,121.29,5.9,0.03
23.37,121.45,5.5,0.1
23.3,121.23,5.1,0.6
23.93,122.29,5.5,0.23
21.43,121.19,5,0.5
24.77,122.62,5,0.4
22.39,121.16,5.2,0.8
23.73,121.65,5.2,0.27
23.77,121.81,5.9,1.53
23.22,123.91,5.1,1.67
23.61,121.37,5.2,2.17
21.1,122.02,5.1,1.47
21.93,121.57,5.6,0
21.88,121.61,5.1,1.2
20.48,121.57,5.4,1.97
23.27,121.32,5.2,0.4
